"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"REQUIREMENT_BINARY"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"REQUIREMENT_BINARY"	"2"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_BINARY"	"3"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_BINARY"	"4"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_BINARY"	"5"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_BINARY"	"6"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_BINARY"	"7"	"OPERATION_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_BINARY"	"8"	"PIECE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_BINARY"	"9"	"TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_BINARY"	"10"	"BITS"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"REQUIREMENT_BINARY"	"11"	"BITS_LENGTH"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
