"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"REQUIREMENT_SCHED"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"REQUIREMENT_SCHED"	"2"	"SCHEDULE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_SCHED"	"3"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_SCHED"	"4"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_SCHED"	"5"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_SCHED"	"6"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_SCHED"	"7"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_SCHED"	"8"	"SEQUENCE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_SCHED"	"9"	"PIECE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"REQUIREMENT_SCHED"	"10"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"REQUIREMENT_SCHED"	"11"	"REQUIRED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"REQUIREMENT_SCHED"	"12"	"PROBLEM_CODE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"REQUIREMENT_SCHED"	"13"	"DUE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
