"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"RFQ_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"RFQ_LINE"	"2"	"RFQ_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RFQ_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"RFQ_LINE"	"4"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"5"	"DESCRIPTION"	"nvarchar"	"120"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"6"	"VENDOR_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"7"	"MFG_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"8"	"MFG_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"9"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"10"	"COMMODITY_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"11"	"QTY_BREAK_1"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"12"	"QTY_BREAK_2"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"13"	"QTY_BREAK_3"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"14"	"QTY_BREAK_4"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"15"	"QTY_BREAK_5"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"16"	"QTY_BREAK_6"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"17"	"QTY_BREAK_7"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"18"	"QTY_BREAK_8"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"19"	"QTY_BREAK_9"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"20"	"QTY_BREAK_10"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_LINE"	"21"	"PURCHASE_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"22"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"RFQ_LINE"	"23"	"SERVICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"24"	"SHIPPING_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"RFQ_LINE"	"25"	"ORIG_STAGE_REVISION_ID"	"nvarchar"	"24"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_LINE"	"26"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
