"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"RFQ_VENDOR"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"RFQ_VENDOR"	"2"	"RFQ_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RFQ_VENDOR"	"3"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RFQ_VENDOR"	"4"	"QUOTED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"5"	"EXPIRATION_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"6"	"FOLLOWUP_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"7"	"EXPECTED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"8"	"NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"9"	"ADDR_1"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"10"	"ADDR_2"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"11"	"ADDR_3"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"12"	"CITY"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"13"	"STATE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"14"	"ZIPCODE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"15"	"COUNTRY"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"16"	"CONTACT_FIRST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"17"	"CONTACT_LAST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"18"	"CONTACT_INITIAL"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"19"	"CONTACT_POSITION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"20"	"CONTACT_HONORIFIC"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"21"	"CONTACT_SALUTATION"	"nvarchar"	"60"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"22"	"CONTACT_PHONE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"23"	"CONTACT_FAX"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"24"	"SUPPLIER_QUOTE_ID"	"nvarchar"	"100"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"25"	"CONTACT_EMAIL"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"26"	"VENDOR_CONTRACT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"27"	"CONTRACT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"28"	"CONTACT_ID"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"29"	"CONTACT_PHONE_EXT"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"RFQ_VENDOR"	"30"	"RFQ_VENDOR_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
