"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"RFQ_VENDOR_QUOTE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"RFQ_VENDOR_QUOTE"	"2"	"RFQ_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"3"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"4"	"RFQ_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"5"	"QTY_BREAK_1"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"6"	"QTY_BREAK_2"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"7"	"QTY_BREAK_3"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"8"	"QTY_BREAK_4"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"9"	"QTY_BREAK_5"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"10"	"QTY_BREAK_6"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"11"	"QTY_BREAK_7"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"12"	"QTY_BREAK_8"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"13"	"QTY_BREAK_9"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"14"	"QTY_BREAK_10"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"15"	"UNIT_PRICE_1"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"16"	"UNIT_PRICE_2"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"17"	"UNIT_PRICE_3"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"18"	"UNIT_PRICE_4"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"19"	"UNIT_PRICE_5"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"20"	"UNIT_PRICE_6"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"21"	"UNIT_PRICE_7"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"22"	"UNIT_PRICE_8"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"23"	"UNIT_PRICE_9"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"24"	"UNIT_PRICE_10"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"RFQ_VENDOR_QUOTE"	"25"	"DEFAULT_UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
