"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SCHEDULER_RUN_LOG"	"1"	"SCHEDULE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"2"	"COUNT"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"3"	"START_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"4"	"END_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"5"	"WORK_ORDERS"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"6"	"OPERATIONS"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"7"	"REQUIREMENTS"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"8"	"ERROR_COUNT"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"9"	"INFINITE_CAPACITY"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"10"	"MATERIALS_CHECKED"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"11"	"SERVICES_CHECKED"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"12"	"RUN_ABORTED"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"13"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"14"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"15"	"HARD_RELEASE_DATE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SCHEDULER_RUN_LOG"	"16"	"CCR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
