"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SERVICE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"SERVICE"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SERVICE"	"3"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"4"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"8"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"9"	"SERVICE_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"10"	"USAGE_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"11"	"PLAN_TRANSIT_DAYS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"12"	"SCHEDULE_RANK"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"13"	"RUN"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"SERVICE"	"14"	"RUN_TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"15"	"LOAD_SIZE_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"SERVICE"	"16"	"MINIMUM_MOVE_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"SERVICE"	"17"	"LONG_DESCRIPTION"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"18"	"INTRASTAT_INCLUDE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"19"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SERVICE"	"20"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SERVICE"	"21"	"BID_RATE_CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
