"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SHIFT_DAY"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"SHIFT_DAY"	"2"	"SHIFT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"3"	"SHIFT_CODE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"4"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"5"	"SHIFT_START"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"6"	"SHIFT_END"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"7"	"MEAL_START"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"8"	"MEAL_END"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"9"	"MEAL_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"10"	"MEAL_MANUAL"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"11"	"BREAK1_START"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"12"	"BREAK1_END"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"13"	"BREAK1_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"14"	"BREAK1_MANUAL"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"15"	"BREAK2_START"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"16"	"BREAK2_END"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"17"	"BREAK2_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"18"	"BREAK2_MANUAL"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"19"	"BREAK3_START"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"20"	"BREAK3_END"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"21"	"BREAK3_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"22"	"BREAK3_MANUAL"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIFT_DAY"	"23"	"PAID_BREAKS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHIFT_DAY"	"24"	"PERIODS_PER_HOUR"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
