"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SHIPPER"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"SHIPPER"	"2"	"PACKLIST_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHIPPER"	"3"	"CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHIPPER"	"4"	"SHIPPED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"5"	"INVOICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"6"	"INVOICED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"7"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SHIPPER"	"8"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"SHIPPER"	"9"	"MARKED_FOR_PURGE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIPPER"	"10"	"LONG_DESCRIPTION"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"11"	"BOL_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"12"	"ASN_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"13"	"PRINTED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"14"	"STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SHIPPER"	"15"	"STATUS_USER_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"16"	"SHIP_TO_ADDR_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"17"	"FREE_ON_BOARD"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"18"	"SHIP_VIA"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"19"	"SALES_TAX_GROUP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"20"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHIPPER"	"21"	"ESL_REPORT_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"22"	"ESL_FILENAME"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"23"	"SHIP_REASON_CD"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"24"	"CUSTOMS_DOC_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"25"	"POOL_CODE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"26"	"VEHICLE_NUMBER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"27"	"INTER_CONSIGNEE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"28"	"TARE_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER"	"29"	"TOTAL_NET_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER"	"30"	"TOTAL_GROSS_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER"	"31"	"SHIPPED_TIME"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"32"	"EXPECTED_DEL_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"33"	"EXPECTED_DEL_TIME"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"34"	"WAYBILL_NUMBER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"35"	"WSA_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"36"	"LOAD_START_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"37"	"LOAD_START_TIME"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"38"	"LOAD_COMPLETE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"39"	"LOAD_COMPLETE_TIME"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"40"	"LOAD_DURATION"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"41"	"SALESREP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"42"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"43"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"44"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"45"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"46"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"47"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"48"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"49"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"50"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"51"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"52"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"53"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SHIPPER"	"54"	"ACTUAL_DEL_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"55"	"DOC_FILE_PATH"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"56"	"DOCUMENT_ID"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER"	"57"	"DISTRIBUTED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SHIPPER"	"58"	"DOC_TOTAL_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"SHIPPER"	"59"	"CUST_SHIP_CHG_ACCT_NO"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
