"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SHIPPER_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"SHIPPER_LINE"	"2"	"PACKLIST_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHIPPER_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SHIPPER_LINE"	"4"	"CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHIPPER_LINE"	"5"	"CUST_ORDER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"6"	"USER_SHIPPED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"SHIPPER_LINE"	"7"	"SHIPPED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"SHIPPER_LINE"	"8"	"ACT_FREIGHT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SHIPPER_LINE"	"9"	"SHIPPING_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"10"	"WEIGHT_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"11"	"CARTON_COUNT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"12"	"TRANSACTION_ID"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"13"	"NMFC_CODE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"14"	"PACKAGE_TYPE"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"15"	"PALLET_COUNT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"16"	"SHIPPING_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"17"	"UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"18"	"TRADE_DISC_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"19"	"COMMISSION_PCT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"20"	"SALES_TAX_GROUP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"21"	"GL_REVENUE_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"22"	"LONG_DESCRIPTION"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"23"	"PIECE_COUNT"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"24"	"LENGTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"25"	"WIDTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"26"	"HEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"27"	"DIMENSIONS_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"28"	"SHIP_DIMENSIONS"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"29"	"SERVICE_CHARGE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"30"	"MISC_REFERENCE"	"nvarchar"	"120"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"31"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"32"	"RMA_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"33"	"RMA_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"34"	"HTS_CODE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"35"	"ORIG_COUNTRY_ID"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"36"	"ITA_SPECIAL_CHARGE"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"37"	"NET_SHIP_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"38"	"TARE_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"39"	"NO_INVOICE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"40"	"REVENUE_STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"41"	"RECEIVABLE_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"42"	"INTRASTAT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"43"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"44"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"45"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"46"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"47"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"48"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"49"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"50"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"51"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"52"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"53"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"54"	"DESCRIPTION"	"nvarchar"	"120"	"0"	"0"	"YES"	"NO"	"NO"
"SHIPPER_LINE"	"55"	"SERVICE_CHG_SITE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
