"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SHOP_RESOURCE_SITE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"SHOP_RESOURCE_SITE"	"2"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"3"	"RESOURCE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"4"	"SCHEDULE_NORMALLY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"5"	"AUTO_REPORTING"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"6"	"SHIFT_1_CAPACITY"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"7"	"SHIFT_2_CAPACITY"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"8"	"SHIFT_3_CAPACITY"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"9"	"SETUP_COST_PER_HR"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"10"	"RUN_COST_PER_HR"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"11"	"SERVICE_BUFFER"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"12"	"BUR_PER_HR_SETUP"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"13"	"BUR_PER_HR_RUN"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"14"	"RUN_COST_PER_UNIT"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"15"	"BUR_PERCENT_SETUP"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"16"	"BUR_PERCENT_RUN"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"17"	"BUR_PER_OPERATION"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"18"	"GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"19"	"AFC_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"20"	"AFB_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"21"	"SCHEDULE_TYPE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"22"	"MIN_SEGMENT_SIZE"	"decimal"	"NULL"	"14"	"2"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"23"	"EFFICIENCY_FACTOR"	"decimal"	"NULL"	"14"	"2"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"24"	"BUR_PER_UNIT_RUN"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"25"	"MONITOR_LOAD"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"26"	"COST_CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"27"	"DEPARTMENT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"28"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"29"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"30"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"31"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"32"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"33"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"34"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"35"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"36"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"37"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"38"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"39"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SHOP_RESOURCE_SITE"	"40"	"BID_RATE_CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
