"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SITE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"SITE"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"3"	"ENTITY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"4"	"SOFT_ALLOC_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"SITE"	"5"	"SITE_NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"6"	"SITE_ADDR_1"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"7"	"SITE_ADDR_2"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"8"	"SITE_ADDR_3"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"9"	"SITE_CITY"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"10"	"SITE_STATE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"11"	"SITE_ZIPCODE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"12"	"SITE_COUNTRY"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"13"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"14"	"DEF_SHIPPER_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"15"	"DEMAND_FENCE_1"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"SITE"	"16"	"DEMAND_FENCE_2"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"SITE"	"17"	"USE_MRP_DMND_FENCE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"18"	"SHOW_LOC_MESSAGE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"19"	"SHOW_WHS_MESSAGE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"20"	"ADD_LOC_ON_FLY"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"21"	"ALLOC_TO_LATER_DEM"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"22"	"SCH_NOTCH_SIZE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SITE"	"23"	"USE_CAL_RLS_CALC"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"24"	"USE_CAL_LT_CALC"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"25"	"HARD_RELEASE_DATE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"26"	"USE_SUPPLY_BEF_LT"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"27"	"DBR_CAN_DELETE_WO"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"28"	"FLAG_RES_CCR_PCT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"SITE"	"29"	"FREE_WO_SHIP_BUF"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"SITE"	"30"	"ALLOCATE_NEGATIVE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"31"	"ISSUE_NEGATIVE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"32"	"ISSNEG_LOCATION"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"33"	"SHIP_TRK_ENABLED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"34"	"DEF_LBL_FORMAT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"35"	"PARTIAL_SHIP_PREPAY_BAL"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"36"	"SHP_REASON_CD_REQ"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"37"	"ECN_CHANGE_ON_HOLD"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"38"	"ECN_CMNT_PWD_REQ"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"39"	"ECN_GEN_ALL_TASKS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"40"	"ECN_REVISE_ITEMS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"41"	"ONE_ECN_PER_PART"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"42"	"ONE_ECN_PER_DOC"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"43"	"ONE_ECN_PER_WO"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"44"	"ONE_ECN_PER_MSTR"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"45"	"ONE_ECN_PER_PRJ"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"46"	"ECN_AUTH_LABEL"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"47"	"ECN_IMPL_LABEL"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"48"	"ECN_APRV_LABEL"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"49"	"ECN_DIST_LABEL"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"50"	"APPLY_ECN_INPROCESS_WO"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"51"	"ECN_REQ_FOR_UPDATE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"52"	"LOCK_ECNS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"53"	"AUTOGEN_LAB_ON_REC"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"54"	"ISS_REAS_REQ_ISS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"55"	"ISS_REAS_REQ_ISSRTN"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"56"	"ADJ_REAS_REQ_ADJIN"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"57"	"ADJ_REAS_REQ_ADJOUT"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"58"	"DEVIATION_REQUIRED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"59"	"DEF_WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"60"	"BACKFLUSH_LABTICK"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"61"	"BACKFLUSH_LABCOST"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"62"	"BACKFLUSH_SUB_IDS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"63"	"DEFAULT_EMPLOYEE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"64"	"TRANSFER_REASON_REQ"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"65"	"LAB_TIC_REQ_INSP"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"66"	"PURC_RECV_REQ_INSP"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"67"	"APS_DEF_LOC_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"68"	"APS_DEF_SERVICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"69"	"APS_DEF_WHSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"70"	"APS_DEFAULT_CUST"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"71"	"APS_DEFAULT_EMPL"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"72"	"APS_DEFAULT_VENDOR"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"73"	"APS_IMPLIED_DEC"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"74"	"APS_TRIM_STRINGS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"75"	"CAL_EXC_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"76"	"CUST_ORD_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"77"	"FROZE_OP_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"78"	"INV_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"79"	"LABOR_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"80"	"MAST_SCH_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"81"	"PART_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"82"	"PLANNING_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"83"	"PURC_ORD_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"84"	"SCHED_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"85"	"SHOP_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"86"	"WORK_ORD_DATA_PATH"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"87"	"FIELD_DELIMITER"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"88"	"RECORD_DELIMITER"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"89"	"QUOTED_STRING"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"90"	"STANDARD_SCHED_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"91"	"UPS_ACCOUNT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"92"	"RLS_NEAR_DAYS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SITE"	"93"	"SUGG_RLS_NEAR_DAYS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"SITE"	"94"	"ENABLED_PRODUCTS"	"nvarchar"	"8"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"95"	"PERIODS_PER_YEAR"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SITE"	"96"	"PERIOD_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"97"	"MULT_AP_INV_RCVR"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"98"	"DUP_AP_CHECK_NO"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"99"	"PART_UDF_LABELS"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"100"	"PROJ_UDF_LABELS"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"101"	"SHOP_UDF_LABELS"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"102"	"VQ_ENABLED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"103"	"VQ_QUERY_USE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"104"	"VQ_DIRECTORY"	"nvarchar"	"128"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"105"	"VQ_DBNAME"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"106"	"DEL_PACK_CLS_PRD"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"107"	"INTERNAL_CUST_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"108"	"PLAN_BY_WAREHOUSE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"109"	"VENDOR_EXCLUSION"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"110"	"PLM_URL"	"nvarchar"	"2000"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"111"	"PLM_ENABLED"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"112"	"PREVENT_NEGATIVE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"113"	"SITE_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"114"	"MRP_IN_PROCESS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SITE"	"115"	"PERCENT_COMPL"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"116"	"QTY_COMPL_BY_HRS"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"SITE"	"117"	"MAX_QTY_COMPLETE"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"SITE"	"118"	"AUTO_ISSUE_METHOD"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
