"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SOA_ID_MAP"	"1"	"NOUN_ID"	"nvarchar"	"50"	"0"	"0"	"NO"	"NO"	"NO"
"SOA_ID_MAP"	"2"	"SYS_KEY_ID"	"nvarchar"	"80"	"0"	"0"	"NO"	"NO"	"NO"
"SOA_ID_MAP"	"3"	"SYS_ENTITY_ID"	"nvarchar"	"22"	"0"	"0"	"NO"	"NO"	"NO"
"SOA_ID_MAP"	"4"	"SYS_AGENCY_ID"	"nvarchar"	"64"	"0"	"0"	"NO"	"NO"	"NO"
"SOA_ID_MAP"	"5"	"SYS_SCHEME_NAME"	"nvarchar"	"64"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"6"	"SYS_AGENCY_NAME"	"nvarchar"	"64"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"7"	"SYS_LOC_ID"	"nvarchar"	"22"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"8"	"SYS_VARIATION"	"nvarchar"	"22"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"9"	"SOR_KEY_ID"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"10"	"SOR_ENTITY_ID"	"nvarchar"	"22"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"11"	"SOR_LID"	"nvarchar"	"64"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"12"	"SOR_SCHEME_NAME"	"nvarchar"	"64"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"13"	"SOR_AGENCY_NAME"	"nvarchar"	"64"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"14"	"SOR_LOC_ID"	"nvarchar"	"22"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"15"	"SOR_VARIATION"	"nvarchar"	"22"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"16"	"DID"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"17"	"SITE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"SOA_ID_MAP"	"18"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SOA_ID_MAP"	"19"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
