"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"SPLIT_TRANS"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"SPLIT_TRANS"	"2"	"TRANSACTION_ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"3"	"FROM_WO_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"4"	"FROM_WO_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"5"	"FROM_WO_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"6"	"FROM_WO_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"7"	"FROM_WO_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"8"	"FROM_WO_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"9"	"TO_WO_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"10"	"TO_WO_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"11"	"TO_WO_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"12"	"TO_WO_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"13"	"TO_WO_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"14"	"TO_WO_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"15"	"QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"16"	"OPER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"17"	"TRANSACTION_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"18"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"19"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"20"	"COMMENTS"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"SPLIT_TRANS"	"21"	"EST_MATERIAL_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"22"	"EST_LABOR_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"23"	"EST_BURDEN_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"24"	"EST_SERVICE_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"25"	"ACT_MATERIAL_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"26"	"ACT_LABOR_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"27"	"ACT_BURDEN_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"28"	"ACT_SERVICE_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"29"	"REM_MATERIAL_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"30"	"REM_LABOR_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"31"	"REM_BURDEN_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"SPLIT_TRANS"	"32"	"REM_SERVICE_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
