"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"VENDOR"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"VENDOR"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"VENDOR"	"3"	"NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"4"	"ADDR_1"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"5"	"ADDR_2"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"6"	"ADDR_3"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"7"	"CITY"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"8"	"STATE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"9"	"ZIPCODE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"10"	"COUNTRY"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"11"	"CONTACT_FIRST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"12"	"CONTACT_LAST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"13"	"CONTACT_INITIAL"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"14"	"CONTACT_POSITION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"15"	"CONTACT_HONORIFIC"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"16"	"CONTACT_SALUTATION"	"nvarchar"	"60"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"17"	"CONTACT_PHONE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"18"	"CONTACT_FAX"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"19"	"REMIT_TO_NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"20"	"REMIT_TO_ADDR_1"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR"	"21"	"REMIT_TO_ADDR_2"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
