"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"VENDOR_ADDRESS"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"VENDOR_ADDRESS"	"2"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"VENDOR_ADDRESS"	"3"	"ADDR_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"VENDOR_ADDRESS"	"4"	"NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"5"	"ADDR_1"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"6"	"ADDR_2"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"7"	"ADDR_3"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"8"	"CITY"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"9"	"STATE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"10"	"ZIPCODE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"11"	"COUNTRY"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"12"	"TRANS_CODE"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"13"	"COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"14"	"VAT_REGISTRATION"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"15"	"DEF_LBL_FORMAT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"16"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"17"	"VAT_OVERRIDE_SEQ"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"18"	"DISPATCH_ADDR_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"19"	"CARRIER_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"20"	"DISP_PALLET_REQ"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"VENDOR_ADDRESS"	"21"	"VENDOR_ADDR_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
