"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"VMDI_CSH_HDR"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"VMDI_CSH_HDR"	"2"	"PENDING_ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"VMDI_CSH_HDR"	"3"	"PENDING_FLAG"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"VMDI_CSH_HDR"	"4"	"TRANSACTION_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"VMDI_CSH_HDR"	"5"	"CUSTOMER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"VMDI_CSH_HDR"	"6"	"CHECK_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"VMDI_CSH_HDR"	"7"	"BANK_ID"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"8"	"ACCOUNT_NO"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"9"	"ROUTING_NO"	"nvarchar"	"35"	"0"	"0"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"10"	"CHECK_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"VMDI_CSH_HDR"	"11"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"12"	"ISO_CURRENCY_CD"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"13"	"BANK_ACCOUNT_ID"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"14"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"15"	"SELL_RATE"	"decimal"	"NULL"	"15"	"8"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"16"	"BUY_RATE"	"decimal"	"NULL"	"15"	"8"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"17"	"DEPOSIT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VMDI_CSH_HDR"	"18"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
