"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"VR_DATA_SOURCE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"VR_DATA_SOURCE"	"2"	"ID"	"nvarchar"	"80"	"0"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE"	"3"	"SOURCE_TYPE"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE"	"4"	"SCOPE_TYPE"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE"	"5"	"DESCRIPTION"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE"	"6"	"USE_ANSI_92_JOIN"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE"	"7"	"STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE"	"8"	"FILTER_TEXT"	"nvarchar"	"2000"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE"	"9"	"CREATED_BY"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE"	"10"	"LAST_MODIFIED_BY"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE"	"11"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE"	"12"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
