"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"VR_DATA_SOURCE_COLUMN"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"VR_DATA_SOURCE_COLUMN"	"2"	"DATA_SOURCE_ID"	"nvarchar"	"80"	"0"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"3"	"NAME"	"nvarchar"	"80"	"0"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"4"	"TABLE_ALIAS"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"5"	"LABEL"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"6"	"SQL_REF"	"nvarchar"	"2000"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"7"	"DATA_TYPE"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"8"	"DATA_FORMAT"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"9"	"BACKGROUND_COLOR"	"nvarchar"	"11"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"10"	"TEXT_COLOR"	"nvarchar"	"11"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"11"	"CELL_BKGD_COLOR"	"nvarchar"	"100"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"12"	"CELL_TEXT_COLOR"	"nvarchar"	"100"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"13"	"CLASS_NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"14"	"FILTER_TYPE"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"15"	"FILTER_SOURCE_TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"16"	"FILTER_SOURCE_TEXT"	"nvarchar"	"2000"	"0"	"0"	"YES"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"17"	"SEQ_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"VR_DATA_SOURCE_COLUMN"	"18"	"IS_VISIBLE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
