"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"VR_PAYABLE_DET"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"VR_PAYABLE_DET"	"2"	"VOUCHER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VR_PAYABLE_DET"	"3"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"VR_PAYABLE_DET"	"4"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"VR_PAYABLE_DET"	"5"	"PURC_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VR_PAYABLE_DET"	"6"	"PURC_ORDER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"VR_PAYABLE_DET"	"7"	"RECEIVER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"VR_PAYABLE_DET"	"8"	"RECEIVER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"VR_PAYABLE_DET"	"9"	"QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"VR_PAYABLE_DET"	"10"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
