"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_ACCT_ENTITY"	"1"	"ENTITY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_ACCT_ENTITY"	"2"	"ACCT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_ACCT_ENTITY"	"3"	"CREDIT_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"V_ACCT_ENTITY"	"4"	"CREDIT_LIMIT_CTL"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"V_ACCT_ENTITY"	"5"	"CREDIT_LIMIT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_ACCT_ENTITY"	"6"	"RECV_AGE_LIMIT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_ACCT_ENTITY"	"7"	"TOTAL_OPEN_ORDERS"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"V_ACCT_ENTITY"	"8"	"TOTAL_OPEN_RECV"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"V_ACCT_ENTITY"	"9"	"OPEN_ORDER_COUNT"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"V_ACCT_ENTITY"	"10"	"OPEN_RECV_COUNT"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"V_ACCT_ENTITY"	"11"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_ACCT_ENTITY"	"12"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_ACCT_ENTITY"	"13"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
