"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_CALENDAR"	"1"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_CALENDAR"	"2"	"ACCT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"3"	"SUBJECT"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"4"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"V_CALENDAR"	"5"	"CREATOR"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"6"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_CALENDAR"	"7"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"8"	"OWNER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"9"	"STATUS"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"10"	"USER_D1"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_CALENDAR"	"11"	"USER_D2"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_CALENDAR"	"12"	"USER_D3"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_CALENDAR"	"13"	"USER_N1"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_CALENDAR"	"14"	"USER_N2"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_CALENDAR"	"15"	"USER_N3"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_CALENDAR"	"16"	"USER_N4"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_CALENDAR"	"17"	"USER_N5"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_CALENDAR"	"18"	"USER_T1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"19"	"USER_T2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"20"	"USER_T3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"21"	"USER_T4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"22"	"USER_T5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"23"	"LOCATION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"24"	"START_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_CALENDAR"	"25"	"END_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_CALENDAR"	"28"	"REMINDER"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_CALENDAR"	"29"	"PRIVATE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_CALENDAR"	"30"	"CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"31"	"TENTATIVE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_CALENDAR"	"32"	"C_ORIG_TIME_ZONE"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"33"	"N_ORIG_TIME_ZONE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"34"	"CONTACT_ID"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"35"	"COMMENTS"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"36"	"REMINDER_TIME"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_CALENDAR"	"37"	"SNOOZE_INTERVAL"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"38"	"REMINDER_INTERVAL"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"40"	"COMMENTS_BIN"	"ntext"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"41"	"ADDR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"42"	"ALL_DAY_EVENT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_CALENDAR"	"43"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
