"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_DOC_CATALOG"	"1"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_DOC_CATALOG"	"2"	"DESCRIPTION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"3"	"CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"4"	"TYPE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"5"	"ELECTRONIC"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"6"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"7"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"8"	"COMMENTS"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"9"	"BIN_HDR"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"10"	"CREATOR"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"11"	"ORIG_FILENAME"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"12"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_DOC_CATALOG"	"13"	"TEMPLATE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
