"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_HISTORY"	"1"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_HISTORY"	"2"	"ACCT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"3"	"CONTACT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"4"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_HISTORY"	"5"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"6"	"REL_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"7"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"8"	"REL_TYPE"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_HISTORY"	"9"	"AUTO_NOTE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_HISTORY"	"10"	"BIN_HDR"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"11"	"SENT_TO"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"12"	"SENT_FROM"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"13"	"SENT_CC"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"14"	"SUMMARY"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"15"	"ATTACHMENT"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"16"	"TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"18"	"CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"19"	"CREATOR"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"20"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_HISTORY"	"21"	"NOTE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_HISTORY"	"22"	"USER_T1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"23"	"USER_T2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"24"	"USER_T3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"25"	"USER_T4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"26"	"USER_T5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"27"	"USER_D1"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_HISTORY"	"28"	"USER_D2"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_HISTORY"	"29"	"USER_D3"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_HISTORY"	"30"	"USER_N1"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"31"	"USER_N2"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"32"	"USER_N3"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"33"	"USER_N4"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"34"	"USER_N5"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"35"	"EMAIL_ID"	"nvarchar"	"2000"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"36"	"PRIVATE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_HISTORY"	"37"	"USER_T6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"38"	"USER_T7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"39"	"USER_T8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"40"	"USER_T9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"41"	"USER_T10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"42"	"USER_T11"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"43"	"USER_T12"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"44"	"USER_T13"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"45"	"USER_T14"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"46"	"USER_T15"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"47"	"USER_T16"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"48"	"USER_T17"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"49"	"USER_T18"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"50"	"USER_T19"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"51"	"USER_T20"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"52"	"USER_T21"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"53"	"USER_T22"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"54"	"USER_T23"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"55"	"USER_T24"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"56"	"USER_T25"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"57"	"USER_T26"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"58"	"USER_T27"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"59"	"USER_T28"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"60"	"USER_T29"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"61"	"USER_T30"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_HISTORY"	"62"	"USER_N6"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"63"	"USER_N7"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"64"	"USER_N8"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"65"	"USER_N9"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"66"	"USER_N10"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_HISTORY"	"67"	"USER_N11"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
