"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_HIST_DATA"	"1"	"BUS_TYPE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_HIST_DATA"	"2"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"V_HIST_DATA"	"3"	"TABLE_NAME"	"nvarchar"	"50"	"0"	"0"	"NO"	"NO"	"NO"
"V_HIST_DATA"	"4"	"FIELD_NAME"	"nvarchar"	"50"	"0"	"0"	"NO"	"NO"	"NO"
"V_HIST_DATA"	"5"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"V_HIST_DATA"	"6"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_HIST_DATA"	"7"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_HIST_DATA"	"8"	"PRIMARY_KEY"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_HIST_DATA"	"9"	"ACTION"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_HIST_DATA"	"10"	"OLD_VALUE"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_HIST_DATA"	"11"	"NEW_VALUE"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
