"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_INVOICE"	"1"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_INVOICE"	"2"	"RECEIVABLE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"3"	"INVOICE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_INVOICE"	"4"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"5"	"TEMPLATE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"6"	"TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"7"	"TOTAL_AMT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_INVOICE"	"8"	"BATCH_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"9"	"DIST_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"10"	"BUY_RATE"	"decimal"	"NULL"	"15"	"8"	"YES"	"NO"	"NO"
"V_INVOICE"	"11"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"12"	"DISC_GIVEN"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_INVOICE"	"13"	"FREIGHT_TERMS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"14"	"MARKED_FOR_PURGE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"15"	"PAID_AMT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_INVOICE"	"16"	"POSTING_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_INVOICE"	"17"	"PRINTED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_INVOICE"	"18"	"RECV_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"19"	"SELL_RATE"	"decimal"	"NULL"	"15"	"8"	"YES"	"NO"	"NO"
"V_INVOICE"	"20"	"TERMS_NET_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"V_INVOICE"	"21"	"TERMS_NET_DAYS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"22"	"TERMS_NET_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_INVOICE"	"23"	"TERMS_DISC_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"V_INVOICE"	"24"	"TERMS_DISC_DAYS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_INVOICE"	"25"	"TERMS_DISC_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_INVOICE"	"26"	"TERMS_DISC_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
