"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_INVOICE_LINE"	"1"	"INVOICE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"2"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"3"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"4"	"BILL"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"5"	"COMMISSION_PCT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"6"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"7"	"CREATOR"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"8"	"DESCRIPTION"	"nvarchar"	"120"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"9"	"DISCOUNT_AMT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"10"	"GL_ACCOUNT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"11"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"12"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"13"	"QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"14"	"SERVICE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"15"	"SUB_TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"16"	"SUB_TYPE_ID"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"17"	"TYPE"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"18"	"TYPE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"19"	"UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"V_INVOICE_LINE"	"20"	"VAT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"21"	"VAT_CATEGORY"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"22"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"23"	"VAT_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"24"	"VAT_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"V_INVOICE_LINE"	"25"	"ISSUE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
