"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_MAIL_NAVBAR"	"1"	"ID"	"nvarchar"	"254"	"0"	"0"	"NO"	"NO"	"NO"
"V_MAIL_NAVBAR"	"2"	"PARENT_NAVBAR_ID"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"3"	"POSITION"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"4"	"TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"5"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"V_MAIL_NAVBAR"	"6"	"ENABLED"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"7"	"VISIBLE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"8"	"LOCKED"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"9"	"LONG_DESC"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"10"	"ACTION"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"11"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"12"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_MAIL_NAVBAR"	"13"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
