"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_OPPORTUNITY"	"1"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_OPPORTUNITY"	"2"	"ACCT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_OPPORTUNITY"	"3"	"OPTY_TYPE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"4"	"DESCRIPTION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"5"	"OPEN_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"6"	"CLOSE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"7"	"CUR_STAGE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"8"	"PROBABILITY"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"9"	"OPTY_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"10"	"WON_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"11"	"WON_REASON"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"12"	"LOST_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"13"	"LOST_REASON"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"14"	"COMPETITOR"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"15"	"INACT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"16"	"INACT_REASON"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"17"	"DIVISION_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"18"	"BUS_UNIT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"19"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_OPPORTUNITY"	"20"	"TERRITORY"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"21"	"AREA_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"22"	"SALESREP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"23"	"BRANCH_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"24"	"USER_T1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"25"	"USER_T2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"26"	"USER_T3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"27"	"USER_T4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"28"	"USER_T5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"29"	"USER_D1"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"30"	"USER_D2"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"31"	"USER_D3"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"32"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"33"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"34"	"PRODUCT_TYPE"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"35"	"LEAD_SOURCE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"36"	"FORECAST"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"37"	"SALES_PLAN"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"38"	"EST_CLOSE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"39"	"FOLLOW_UP"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_OPPORTUNITY"	"40"	"FOLLOW_UP_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"41"	"FOLLOW_UP_TYPE"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"42"	"CREATOR"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"43"	"OWNER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"44"	"RESULTS_COMMENTS"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"45"	"COMMENTS"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"46"	"USER_N1"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"47"	"USER_N2"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"48"	"USER_N3"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"49"	"USER_N4"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"50"	"USER_N5"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"51"	"QTY"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"52"	"OPTY_VERSION"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"53"	"CONTACT_ID"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"54"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"55"	"STATUS"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"56"	"USER_T6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"57"	"USER_T7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"58"	"USER_T8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"59"	"USER_T9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"60"	"USER_T10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"61"	"USER_T11"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"62"	"USER_T12"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"63"	"USER_T13"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"64"	"USER_T14"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"65"	"USER_T15"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"66"	"USER_T16"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"67"	"USER_T17"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"68"	"USER_T18"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_OPPORTUNITY"	"69"	"USER_T19"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
