"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_QUOTA"	"1"	"REPORTING_TYPE"	"nvarchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"V_QUOTA"	"2"	"REPORTING_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_QUOTA"	"3"	"STAGE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_QUOTA"	"4"	"YEAR"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"V_QUOTA"	"5"	"MONTH"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"V_QUOTA"	"6"	"QUOTA_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_QUOTA"	"7"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_QUOTA"	"8"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTA"	"9"	"CREATOR"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTA"	"10"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
