"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_QUOTE_PART"	"1"	"QUOTE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_QUOTE_PART"	"2"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_QUOTE_PART"	"3"	"PART_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_QUOTE_PART"	"4"	"TYPE"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"5"	"SALESCODE"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"6"	"CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"7"	"CAT_SEQ_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"8"	"STANDARD"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"10"	"QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"11"	"REQUIRED"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"12"	"DISCOUNTABLE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"13"	"END_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"14"	"PRINT_TYPE"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"15"	"HAS_SPECS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"16"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"17"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"18"	"CAT_DESC"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"19"	"PART_DESC"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"20"	"USER_T1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"21"	"USER_T2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"22"	"USER_N1"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"23"	"USER_N2"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"24"	"HIDE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"25"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_QUOTE_PART"	"26"	"PRICE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
