"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_RECV_DIST"	"1"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"2"	"ITEM_TYPE"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"3"	"ITEM_TYPE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"4"	"DIST_NBR"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"5"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"6"	"AMOUNT_TYPE"	"nvarchar"	"2"	"0"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"7"	"BATCH_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_RECV_DIST"	"8"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"9"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"10"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"11"	"GL_ACCOUNT_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"12"	"INVOICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_RECV_DIST"	"13"	"NATIVE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"14"	"NATIVE_AMT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_RECV_DIST"	"15"	"POSTING_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"16"	"POSTING_STATUS"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_RECV_DIST"	"17"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_RECV_DIST"	"18"	"LAST_USER"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_RECV_DIST"	"19"	"QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
