"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_SRVCORD_OPER"	"1"	"SRVC_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"2"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"3"	"ACT_END_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"4"	"ACT_START_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"5"	"BILL"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"6"	"COMMISSION_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"7"	"CONTR_ITEM_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"8"	"DESCRIPTION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"9"	"DISCOUNT_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"10"	"EMP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"11"	"EST_END_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"12"	"EST_START_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"14"	"LABOR_RATE"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"15"	"REV_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"16"	"EST_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"17"	"EST_HOURS"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"18"	"ACT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"20"	"RESOURCE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"21"	"REQ_START_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"22"	"REQ_END_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"23"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"24"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"25"	"WORKORDER_OP_SEQ"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"26"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"27"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"28"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_OPER"	"29"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"30"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"31"	"STATUS"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"33"	"POSTING_CANDIDATE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"34"	"ACT_HOURS"	"decimal"	"NULL"	"7"	"2"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"35"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"36"	"USER_T1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"37"	"USER_T2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"38"	"USER_T3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"39"	"USER_T4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"40"	"USER_T5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"41"	"USER_D1"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"42"	"USER_D2"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"43"	"USER_D3"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"44"	"USER_N1"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"45"	"USER_N2"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"46"	"USER_N3"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"47"	"USER_N4"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"48"	"USER_N5"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"49"	"START_TIME"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"50"	"END_TIME"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"51"	"SLS_TAX_GRP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"52"	"SERVICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"53"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_OPER"	"54"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
