"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_SRVCORD_VNDR"	"1"	"SRVC_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"2"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"3"	"BILL"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"4"	"COMMISSION_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"5"	"CONTR_ITEM_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"6"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"7"	"UNIT_COST"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"8"	"DISCOUNT_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"9"	"EST_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"10"	"FIXED_MKUP"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"11"	"MKUP_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"12"	"PO_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"13"	"REV_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"14"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"15"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"16"	"ACT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"18"	"BUY_RATE"	"decimal"	"NULL"	"15"	"8"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"19"	"SELL_RATE"	"decimal"	"NULL"	"15"	"8"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"20"	"POSTING_CANDIDATE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"21"	"PO_SRVC_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"22"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"23"	"STATUS"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"24"	"RECV_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"25"	"RECEIVED"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_SRVCORD_VNDR"	"26"	"PO_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"27"	"EST_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"28"	"DESCRIPTION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"29"	"SERVICE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"30"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"31"	"USER_T1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"32"	"USER_T2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"33"	"USER_T3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_SRVCORD_VNDR"	"34"	"USER_T4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
