"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_TASK"	"1"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"V_TASK"	"2"	"ACCT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"3"	"CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"4"	"COMPLETED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"5"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"6"	"CREATOR"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"7"	"DUE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"8"	"OWNER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"9"	"PRIORITY_TYPE"	"nvarchar"	"6"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"10"	"REL_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"11"	"REL_TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"13"	"START_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"14"	"STATUS"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"15"	"SUBJECT"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"16"	"USER_T1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"17"	"USER_T2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"18"	"USER_T3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"19"	"USER_T4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"20"	"USER_T5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"21"	"USER_D1"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"22"	"USER_D2"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"23"	"USER_D3"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"25"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"26"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"27"	"ACTUAL_WORK"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"V_TASK"	"28"	"ESTIMATED_WORK"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"V_TASK"	"29"	"USER_N1"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_TASK"	"30"	"USER_N2"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_TASK"	"31"	"USER_N3"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_TASK"	"32"	"USER_N4"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_TASK"	"33"	"USER_N5"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"V_TASK"	"34"	"COMPLETE_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"35"	"USER_NOTE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"V_TASK"	"36"	"CONTACT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"37"	"SNOOZE_INTERVAL"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"38"	"REMINDER_INTERVAL"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"39"	"REMINDER_TIME"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_TASK"	"40"	"REMINDER"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"42"	"CATALOG_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"43"	"EVENT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"44"	"COMMENTS_BIN"	"ntext"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"45"	"REL_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"V_TASK"	"46"	"CUSTOMER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"47"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"48"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"49"	"VE_CONT_ID"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"50"	"SERVICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"51"	"BANK_ACCOUNT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"52"	"CONTROL_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"53"	"ACTIVITY_TYPE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"54"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"55"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"56"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"57"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"58"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"59"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"60"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"61"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"62"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"63"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"V_TASK"	"64"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
