"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"V_VERSION"	"1"	"DB_VERSION"	"nvarchar"	"50"	"0"	"0"	"NO"	"NO"	"NO"
"V_VERSION"	"2"	"COMPANY"	"nvarchar"	"100"	"0"	"0"	"NO"	"NO"	"NO"
"V_VERSION"	"3"	"COMMENTS"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"V_VERSION"	"4"	"LAST_MODIFIED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_VERSION"	"5"	"LAST_USER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"V_VERSION"	"6"	"SERIAL_NUMBER"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"V_VERSION"	"7"	"SYNC_MACHINE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"V_VERSION"	"8"	"UPGRADE_ACTION_REQ"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_VERSION"	"9"	"BOI_DATE_RUN"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"V_VERSION"	"10"	"BOI_COUNT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"V_VERSION"	"11"	"SYNC_CLIENT_SN"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
