"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"WAREHOUSE_ADDRESS"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"WAREHOUSE_ADDRESS"	"2"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"3"	"ADDR_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"4"	"SHIPTO_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"5"	"NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"6"	"ADDR_1"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"7"	"ADDR_2"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"8"	"ADDR_3"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"9"	"CITY"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"10"	"STATE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"11"	"ZIPCODE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"12"	"COUNTRY"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"13"	"VAT_REGISTRATION"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"WAREHOUSE_ADDRESS"	"14"	"WAREHOUSE_ADDR_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
