"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"WBS"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"WBS"	"2"	"CODE"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"WBS"	"3"	"PROJECT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"WBS"	"4"	"DESCRIPTION"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WBS"	"5"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"WBS"	"6"	"BILLABLE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"WBS"	"7"	"CLIN"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"WBS"	"8"	"CWBS"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"WBS"	"9"	"CDRL"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"WBS"	"10"	"DEF_DEPARTMENT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"WBS"	"11"	"TRANSFER_COSTS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"WBS"	"12"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
