"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"WH_SHIP_ADVICE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"WH_SHIP_ADVICE"	"2"	"ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"WH_SHIP_ADVICE"	"3"	"BOL_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"4"	"CARRIER_REF"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"5"	"TRANS_METHOD_CODE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"6"	"SHIPMENT_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"7"	"WSA_ON_HOLD"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"8"	"WSA_TRANSMITTED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"9"	"WSA_TRANSMITTED_BY"	"nvarchar"	"8"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"10"	"WSA_TRANSMIT_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"11"	"SHIP_DATE_CHG_RSN"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"12"	"CARRIER_RT_CHG_RSN"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"13"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"14"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"15"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"16"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"17"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"18"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"19"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"20"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"21"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"22"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"WH_SHIP_ADVICE"	"23"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
