"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"WORKFLOW"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"WORKFLOW"	"2"	"TYPE"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"WORKFLOW"	"3"	"APPLICATION_AREA"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"WORKFLOW"	"4"	"TEMPLATE_NAME"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"WORKFLOW"	"5"	"REFERENCE"	"nvarchar"	"100"	"0"	"0"	"NO"	"NO"	"NO"
"WORKFLOW"	"6"	"STATUS"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"WORKFLOW"	"7"	"DBTABLE"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"WORKFLOW"	"8"	"EVALUATE_ON_TIMER"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"WORKFLOW"	"9"	"DIAGRAM"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"WORKFLOW"	"10"	"curr_step_name"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"WORKFLOW"	"11"	"curr_step_id"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"WORKFLOW"	"12"	"curr_approv_user"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"WORKFLOW"	"13"	"curr_step_start_on"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"WORKFLOW"	"14"	"curr_step_last_notified"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"WORKFLOW"	"15"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
