"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"WORK_ORDER_SYNC"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"WORK_ORDER_SYNC"	"2"	"EVENT_ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"3"	"TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"4"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"5"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"6"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"7"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"8"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"9"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"10"	"EXCEPTION"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"WORK_ORDER_SYNC"	"11"	"SUBSCRIPTIONS"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
