"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"CUST_ORDER_ALLOC"	"ALLOCATED_QTY"	"DF__CUST_ORDE__ALLOC__515D58E3"	"NULL"
"CUST_ORDER_ALLOC"	"DAYS_LATE"	"DF__CUST_ORDE__DAYS___5345A155"	"NULL"
"CUST_ORDER_ALLOC"	"DESIRED_QTY"	"DF__CUST_ORDE__DESIR__4C98A3C6"	"NULL"
"CUST_ORDER_ALLOC"	"LOT_ID"	"DF__CUST_ORDE__LOT_I__48C812E2"	"NULL"
"CUST_ORDER_ALLOC"	"MATERIAL_COST"	"DF__CUST_ORDE__MATER__4F751071"	"NULL"
"CUST_ORDER_ALLOC"	"OPP_LOST"	"DF__CUST_ORDE__OPP_L__5439C58E"	"NULL"
"CUST_ORDER_ALLOC"	"ORDER_DEL_NO"	"DF__CUST_ORDE__ORDER__45EBA637"	"NULL"
"CUST_ORDER_ALLOC"	"ORDER_QTY"	"DF__CUST_ORDE__ORDER__46DFCA70"	"NULL"
"CUST_ORDER_ALLOC"	"PURC_DEL_NO"	"DF__CUST_ORDE__PURC___4BA47F8D"	"NULL"
"CUST_ORDER_ALLOC"	"PURC_LINE_NO"	"DF__CUST_ORDE__PURC___4AB05B54"	"NULL"
"CUST_ORDER_ALLOC"	"RECEIVED_QTY"	"DF__CUST_ORDE__RECEI__4D8CC7FF"	"NULL"
"CUST_ORDER_ALLOC"	"SERVICE_COST"	"DF__CUST_ORDE__SERVI__506934AA"	"NULL"
"CUST_ORDER_ALLOC"	"SHIPPED_QTY"	"DF__CUST_ORDE__SHIPP__47D3EEA9"	"NULL"
"CUST_ORDER_ALLOC"	"SPLIT_ID"	"DF__CUST_ORDE__SPLIT__49BC371B"	"NULL"
"CUST_ORDER_ALLOC"	"UNIT_PRICE"	"DF__CUST_ORDE__UNIT___4E80EC38"	"NULL"
"CUST_ORDER_ALLOC"	"VALUE_LATE"	"DF__CUST_ORDE__VALUE__52517D1C"	"NULL"
