"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"CUST_ORDER_LINE"	"ALLOCATED_QTY"	"DF__CUST_ORDE__ALLOC__346B4923"	"NULL"
"CUST_ORDER_LINE"	"EMAIL_NOTIFICATION"	"DF__CUST_ORDE__EMAIL__160788EB"	"NULL"
"CUST_ORDER_LINE"	"EST_FREIGHT"	"DF__CUST_ORDE__EST_F__2DBE4B94"	"NULL"
"CUST_ORDER_LINE"	"FULFILLED_QTY"	"DF__CUST_ORDE__FULFI__355F6D5C"	"NULL"
"CUST_ORDER_LINE"	"LINE_STATUS"	"DF__CUST_ORDE__LINE___2AE1DEE9"	"NULL"
"CUST_ORDER_LINE"	"POSTING_CANDIDATE"	"DF__CUST_ORDE__POSTI__30BB7F27"	"NULL"
"CUST_ORDER_LINE"	"STATUS_EFF_DATE"	"DF__CUST_ORDE__STATU__36539195"	"NULL"
"CUST_ORDER_LINE"	"TOTAL_ACT_FREIGHT"	"DF__CUST_ORDE__TOTAL__2EB26FCD"	"NULL"
"CUST_ORDER_LINE"	"TOTAL_AMT_ORDERED"	"DF__CUST_ORDE__TOTAL__328300B1"	"NULL"
"CUST_ORDER_LINE"	"TOTAL_AMT_SHIPPED"	"DF__CUST_ORDE__TOTAL__318EDC78"	"NULL"
"CUST_ORDER_LINE"	"TOTAL_SHIPPED_QTY"	"DF__CUST_ORDE__TOTAL__2FA69406"	"NULL"
"CUST_ORDER_LINE"	"TOTAL_USR_SHIP_QTY"	"DF__CUST_ORDE__TOTAL__309AB83F"	"NULL"
"CUST_ORDER_LINE"	"TRADE_DISC_PERCENT"	"DF__CUST_ORDE__TRADE__2CCA275B"	"NULL"
"CUST_ORDER_LINE"	"UNIT_PRICE"	"DF__CUST_ORDE__UNIT___2BD60322"	"NULL"
"CUST_ORDER_LINE"	"WIP_VAS_UNIT_PRICE"	"DF__CUST_ORDE__WIP_V__337724EA"	"NULL"
