"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"INSPECTION_ORDER"	"CREATE_DATE"	"DF__INSPECTIO__CREAT__3DBFA933"	"NULL"
"INSPECTION_ORDER"	"LAST_MOD_DATE"	"DF__INSPECTIO__LAST___3CCB84FA"	"NULL"
"INSPECTION_ORDER"	"QTY_ACCEPTED"	"DF__INSPECTIO__QTY_A__39EF184F"	"NULL"
"INSPECTION_ORDER"	"QTY_ACCEPTED_BASE"	"DF__INSPECTIO__QTY_A__361E876B"	"NULL"
"INSPECTION_ORDER"	"QTY_HOLD"	"DF__INSPECTIO__QTY_H__3BD760C1"	"NULL"
"INSPECTION_ORDER"	"QTY_HOLD_BASE"	"DF__INSPECTIO__QTY_H__3806CFDD"	"NULL"
"INSPECTION_ORDER"	"QTY_RECEIVED"	"DF__INSPECTIO__QTY_R__38FAF416"	"NULL"
"INSPECTION_ORDER"	"QTY_RECEIVED_BASE"	"DF__INSPECTIO__QTY_R__352A6332"	"NULL"
"INSPECTION_ORDER"	"QTY_REJECTED"	"DF__INSPECTIO__QTY_R__3AE33C88"	"NULL"
"INSPECTION_ORDER"	"QTY_REJECTED_BASE"	"DF__INSPECTIO__QTY_R__3712ABA4"	"NULL"
"INSPECTION_ORDER"	"STATUS"	"DF__INSPECTIO__STATU__33421AC0"	"NULL"
"INSPECTION_ORDER"	"STATUS_EFF_DATE"	"DF__INSPECTIO__STATU__34363EF9"	"NULL"
