"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"PAYABLE"	"CREATE_DATE"	"DF__PAYABLE__CREATE___004C869F"	"NULL"
"PAYABLE"	"CURRENCY_ID"	"DF__PAYABLE__CURRENC__08E1CCA0"	"NULL"
"PAYABLE"	"DISCOUNT_TAKEN"	"DF__PAYABLE__DISCOUN__0328F34A"	"NULL"
"PAYABLE"	"MARKED_FOR_PURGE"	"DF__PAYABLE__MARKED___06055FF5"	"NULL"
"PAYABLE"	"PAID_AMOUNT"	"DF__PAYABLE__PAID_AM__0234CF11"	"NULL"
"PAYABLE"	"PAY_STATUS"	"DF__PAYABLE__PAY_STA__0140AAD8"	"NULL"
"PAYABLE"	"POSTING_CANDIDATE"	"DF__PAYABLE__POSTING__0ACA1512"	"NULL"
"PAYABLE"	"STATUS_EFF_DATE"	"DF__PAYABLE__STATUS___0BBE394B"	"NULL"
"PAYABLE"	"TERMS_DISC_TYPE"	"DF__PAYABLE__TERMS_D__05113BBC"	"NULL"
"PAYABLE"	"TERMS_NET_TYPE"	"DF__PAYABLE__TERMS_N__041D1783"	"NULL"
"PAYABLE"	"USER_EXCH_RATE"	"DF__PAYABLE__USER_EX__09D5F0D9"	"NULL"
"PAYABLE"	"WH_ALLOWED_AMOUNT"	"DF__PAYABLE__WH_ALLO__07EDA867"	"NULL"
"PAYABLE"	"WITHHELD_AMOUNT"	"DF__PAYABLE__WITHHEL__06F9842E"	"NULL"
