"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"RECEIVABLE"	"COMM_PAID_AMOUNT"	"DF__RECEIVABL__COMM___08ACC276"	"NULL"
"RECEIVABLE"	"CREATE_DATE"	"DF__RECEIVABL__CREAT__04DC3192"	"NULL"
"RECEIVABLE"	"DISCOUNT_GIVEN"	"DF__RECEIVABL__DISCO__010BA0AE"	"NULL"
"RECEIVABLE"	"FREIGHT_TERMS"	"DF__RECEIVABL__FREIG__03E80D59"	"NULL"
"RECEIVABLE"	"MARKED_FOR_PURGE"	"DF__RECEIVABL__MARKE__06C47A04"	"NULL"
"RECEIVABLE"	"PAID_AMOUNT"	"DF__RECEIVABL__PAID___00177C75"	"NULL"
"RECEIVABLE"	"STATUS"	"DF__RECEIVABL__STATU__05D055CB"	"NULL"
"RECEIVABLE"	"TERMS_DISC_TYPE"	"DF__RECEIVABL__TERMS__02F3E920"	"NULL"
"RECEIVABLE"	"TERMS_NET_TYPE"	"DF__RECEIVABL__TERMS__01FFC4E7"	"NULL"
"RECEIVABLE"	"TYPE"	"DF__RECEIVABLE__TYPE__7F23583C"	"NULL"
"RECEIVABLE"	"USER_EXCH_RATE"	"DF__RECEIVABL__USER___07B89E3D"	"NULL"
