"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"REQUIREMENT"	"ACT_BURDEN_COST"	"DF__REQUIREME__ACT_B__2B01DA7A"	"NULL"
"REQUIREMENT"	"ACT_LABOR_COST"	"DF__REQUIREME__ACT_L__2A0DB641"	"NULL"
"REQUIREMENT"	"ACT_MATERIAL_COST"	"DF__REQUIREME__ACT_M__29199208"	"NULL"
"REQUIREMENT"	"ACT_SERVICE_COST"	"DF__REQUIREME__ACT_S__2BF5FEB3"	"NULL"
"REQUIREMENT"	"ALLOCATED_QTY"	"DF__REQUIREME__ALLOC__2DDE4725"	"NULL"
"REQUIREMENT"	"BURDEN_PER_UNIT"	"DF__REQUIREME__BURDE__20844C07"	"NULL"
"REQUIREMENT"	"BURDEN_PERCENT"	"DF__REQUIREME__BURDE__1F9027CE"	"NULL"
"REQUIREMENT"	"EST_BURDEN_COST"	"DF__REQUIREME__EST_B__2360B8B2"	"NULL"
"REQUIREMENT"	"EST_LABOR_COST"	"DF__REQUIREME__EST_L__226C9479"	"NULL"
"REQUIREMENT"	"EST_MATERIAL_COST"	"DF__REQUIREME__EST_M__21787040"	"NULL"
"REQUIREMENT"	"EST_SERVICE_COST"	"DF__REQUIREME__EST_S__2454DCEB"	"NULL"
"REQUIREMENT"	"FIXED_QTY"	"DF__REQUIREME__FIXED__18E32A3F"	"NULL"
"REQUIREMENT"	"FULFILLED_QTY"	"DF__REQUIREME__FULFI__2ED26B5E"	"NULL"
"REQUIREMENT"	"ISSUED_QTY"	"DF__REQUIREME__ISSUE__1ACB72B1"	"NULL"
"REQUIREMENT"	"PROTECT_COST"	"DF__REQUIREME__PROTE__2CEA22EC"	"NULL"
"REQUIREMENT"	"REM_BURDEN_COST"	"DF__REQUIREME__REM_B__27314996"	"NULL"
"REQUIREMENT"	"REM_LABOR_COST"	"DF__REQUIREME__REM_L__263D255D"	"NULL"
"REQUIREMENT"	"REM_MATERIAL_COST"	"DF__REQUIREME__REM_M__25490124"	"NULL"
"REQUIREMENT"	"REM_SERVICE_COST"	"DF__REQUIREME__REM_S__28256DCF"	"NULL"
"REQUIREMENT"	"SCRAP_PERCENT"	"DF__REQUIREME__SCRAP__19D74E78"	"NULL"
"REQUIREMENT"	"STATUS_EFF_DATE"	"DF__REQUIREME__STATU__2FC68F97"	"NULL"
"REQUIREMENT"	"UNIT_BURDEN_COST"	"DF__REQUIREME__UNIT___1DA7DF5C"	"NULL"
"REQUIREMENT"	"UNIT_LABOR_COST"	"DF__REQUIREME__UNIT___1CB3BB23"	"NULL"
"REQUIREMENT"	"UNIT_MATERIAL_COST"	"DF__REQUIREME__UNIT___1BBF96EA"	"NULL"
"REQUIREMENT"	"UNIT_SERVICE_COST"	"DF__REQUIREME__UNIT___1E9C0395"	"NULL"
