"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"TRACE_PROFILE"	"ACCEPT_EXPIRED_RCV"	"DF__TRACE_PRO__ACCEP__752FD9AE"	"NULL"
"TRACE_PROFILE"	"APPLY_TO_ISSUE"	"DF__TRACE_PRO__APPLY__4A457BA9"	"NULL"
"TRACE_PROFILE"	"APPLY_TO_LABOR"	"DF__TRACE_PRO__APPLY__4B399FE2"	"NULL"
"TRACE_PROFILE"	"APPLY_TO_REC"	"DF__TRACE_PRO__APPLY__49515770"	"NULL"
"TRACE_PROFILE"	"APPLY_TO_SERVDISP"	"DF__TRACE_PRO__APPLY__6BA66F74"	"NULL"
"TRACE_PROFILE"	"APPLY_TO_SERVREC"	"DF__TRACE_PRO__APPLY__6C9A93AD"	"NULL"
"TRACE_PROFILE"	"APROPERTY_1_EDIT"	"DF__TRACE_PRO__APROP__579F76C7"	"NULL"
"TRACE_PROFILE"	"APROPERTY_1_KNOWN"	"DF__TRACE_PRO__APROP__79F48ECB"	"NULL"
"TRACE_PROFILE"	"APROPERTY_1_REQD"	"DF__TRACE_PRO__APROP__4E160C8D"	"NULL"
"TRACE_PROFILE"	"APROPERTY_1_VIS"	"DF__TRACE_PRO__APROP__6128E101"	"NULL"
"TRACE_PROFILE"	"APROPERTY_2_EDIT"	"DF__TRACE_PRO__APROP__58939B00"	"NULL"
"TRACE_PROFILE"	"APROPERTY_2_KNOWN"	"DF__TRACE_PRO__APROP__7AE8B304"	"NULL"
"TRACE_PROFILE"	"APROPERTY_2_REQD"	"DF__TRACE_PRO__APROP__4F0A30C6"	"NULL"
"TRACE_PROFILE"	"APROPERTY_2_VIS"	"DF__TRACE_PRO__APROP__621D053A"	"NULL"
"TRACE_PROFILE"	"APROPERTY_3_EDIT"	"DF__TRACE_PRO__APROP__5987BF39"	"NULL"
"TRACE_PROFILE"	"APROPERTY_3_KNOWN"	"DF__TRACE_PRO__APROP__7BDCD73D"	"NULL"
"TRACE_PROFILE"	"APROPERTY_3_REQD"	"DF__TRACE_PRO__APROP__4FFE54FF"	"NULL"
"TRACE_PROFILE"	"APROPERTY_3_VIS"	"DF__TRACE_PRO__APROP__63112973"	"NULL"
"TRACE_PROFILE"	"APROPERTY_4_EDIT"	"DF__TRACE_PRO__APROP__5A7BE372"	"NULL"
"TRACE_PROFILE"	"APROPERTY_4_KNOWN"	"DF__TRACE_PRO__APROP__7CD0FB76"	"NULL"
"TRACE_PROFILE"	"APROPERTY_4_REQD"	"DF__TRACE_PRO__APROP__50F27938"	"NULL"
"TRACE_PROFILE"	"APROPERTY_4_VIS"	"DF__TRACE_PRO__APROP__64054DAC"	"NULL"
"TRACE_PROFILE"	"APROPERTY_5_EDIT"	"DF__TRACE_PRO__APROP__5B7007AB"	"NULL"
"TRACE_PROFILE"	"APROPERTY_5_KNOWN"	"DF__TRACE_PRO__APROP__7DC51FAF"	"NULL"
"TRACE_PROFILE"	"APROPERTY_5_REQD"	"DF__TRACE_PRO__APROP__51E69D71"	"NULL"
