"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"V_ACCOUNT"	"ACCEPT_EARLY"	"DF__V_ACCOUNT__ACCEP__1784F1B2"	"NULL"
"V_ACCOUNT"	"ACCT_CATEGORY"	"DF__V_ACCOUNT__ACCT___27BB597B"	"NULL"
"V_ACCOUNT"	"BACKORDER"	"DF__V_ACCOUNT__BACKO__187915EB"	"NULL"
"V_ACCOUNT"	"CURRENCY_ID"	"DF__V_ACCOUNT__CURRE__1B558296"	"NULL"
"V_ACCOUNT"	"DUNNING_LETTERS"	"DF__V_ACCOUNT__DUNNI__1C49A6CF"	"NULL"
"V_ACCOUNT"	"FOLLOW_UP"	"DF__V_ACCOUNT__FOLLO__1D3DCB08"	"NULL"
"V_ACCOUNT"	"OPEN_DATE"	"DF__V_ACCOUNT__OPEN___1E31EF41"	"NULL"
"V_ACCOUNT"	"RMA_REQUIRED"	"DF__V_ACCOUNT__RMA_R__22F6A45E"	"NULL"
"V_ACCOUNT"	"TAX_EXEMPT"	"DF__V_ACCOUNT__TAX_E__23EAC897"	"NULL"
"V_ACCOUNT"	"TAX_ON_WHOLESALE"	"DF__V_ACCOUNT__TAX_O__24DEECD0"	"NULL"
