"TableName"	"ColumnName"	"ConstraintName"	"Definition"
"WORKORDER_SUMMARY"	"ACT_ATL_BUR_COST"	"DF__WORKORDER__ACT_A__12562841"	"NULL"
"WORKORDER_SUMMARY"	"ACT_ATL_LAB_COST"	"DF__WORKORDER__ACT_A__11620408"	"NULL"
"WORKORDER_SUMMARY"	"ACT_ATL_MAT_COST"	"DF__WORKORDER__ACT_A__106DDFCF"	"NULL"
"WORKORDER_SUMMARY"	"ACT_ATL_SER_COST"	"DF__WORKORDER__ACT_A__134A4C7A"	"NULL"
"WORKORDER_SUMMARY"	"EST_ATL_BUR_COST"	"DF__WORKORDER__EST_A__0AB50679"	"NULL"
"WORKORDER_SUMMARY"	"EST_ATL_LAB_COST"	"DF__WORKORDER__EST_A__09C0E240"	"NULL"
"WORKORDER_SUMMARY"	"EST_ATL_MAT_COST"	"DF__WORKORDER__EST_A__08CCBE07"	"NULL"
"WORKORDER_SUMMARY"	"EST_ATL_SER_COST"	"DF__WORKORDER__EST_A__0BA92AB2"	"NULL"
"WORKORDER_SUMMARY"	"REM_ATL_BUR_COST"	"DF__WORKORDER__REM_A__0E85975D"	"NULL"
"WORKORDER_SUMMARY"	"REM_ATL_LAB_COST"	"DF__WORKORDER__REM_A__0D917324"	"NULL"
"WORKORDER_SUMMARY"	"REM_ATL_MAT_COST"	"DF__WORKORDER__REM_A__0C9D4EEB"	"NULL"
"WORKORDER_SUMMARY"	"REM_ATL_SER_COST"	"DF__WORKORDER__REM_A__0F79BB96"	"NULL"
