"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FKEY9304"	"CUSTOMER"	"ARRIVAL_CODE"	"PORT_OF_ARRIVAL"	"CODE"
"FK_CUST_CNTRY"	"CUSTOMER"	"COUNTRY_ID"	"COUNTRY"	"ID"
"FK_CUST_GROUP_ID"	"CUSTOMER"	"CUSTOMER_GROUP_ID"	"CUSTOMER_GROUP"	"ID"
"FKEY9499"	"CUSTOMER"	"def_ack_id"	"VMDI_ACK_CODES"	"ACK_ID"
"FKEY9461"	"CUSTOMER"	"DEF_LBL_FORMAT_ID"	"LABEL_FORMAT"	"ID"
"FKEY0042"	"CUSTOMER"	"DEF_SLS_TAX_GRP_ID"	"SALES_TAX_GROUP"	"ID"
"FKEY9623"	"CUSTOMER"	"DEF_TERMS_ID"	"TERMS"	"ID"
"FKEY9470"	"CUSTOMER"	"DEF_TRANS_CURRENCY"	"CURRENCY"	"ID"
"FKEY0069"	"CUSTOMER"	"DISCOUNT_CODE"	"CUSTOMER_DISCOUNT"	"DISCOUNT_CODE"
"FKEY9308"	"CUSTOMER"	"MODE_OF_TRANSPORT"	"MODE_OF_TRANSPORT"	"CODE"
"FKEY9307"	"CUSTOMER"	"NATURE_OF_TRANS"	"NATURE_OF_TRANS"	"CODE"
"FKEY9577"	"CUSTOMER"	"return_trans"	"NATURE_OF_TRANS"	"CODE"
"FKEY9305"	"CUSTOMER"	"TRANS_CODE"	"PORT_OF_TRANS"	"CODE"
