"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FK_IO_TO_EMP"	"INSPECTION_ORDER"	"EMPLOYEE_ID"	"EMPLOYEE"	"ID"
"FK_IO_TO_INV_TRANS"	"INSPECTION_ORDER"	"INV_TRANS_ID"	"INVENTORY_TRANS"	"TRANSACTION_ID"
"FK_IO_TO_OP"	"INSPECTION_ORDER"	"OPERATION_SEQ_NO"	"OPERATION"	"SEQUENCE_NO"
"FK_IO_TO_RCVR_LINE"	"INSPECTION_ORDER"	"RECEIVER_ID"	"RECEIVER_LINE"	"RECEIVER_ID"
"FK_IO_TO_RCVR_LINE"	"INSPECTION_ORDER"	"RECEIVER_LINE_NO"	"RECEIVER_LINE"	"LINE_NO"
"FK_IO_TO_OP"	"INSPECTION_ORDER"	"WORKORDER_BASE_ID"	"OPERATION"	"WORKORDER_BASE_ID"
"FK_IO_TO_OP"	"INSPECTION_ORDER"	"WORKORDER_LOT_ID"	"OPERATION"	"WORKORDER_LOT_ID"
"FK_IO_TO_OP"	"INSPECTION_ORDER"	"WORKORDER_SPLIT_ID"	"OPERATION"	"WORKORDER_SPLIT_ID"
"FK_IO_TO_OP"	"INSPECTION_ORDER"	"WORKORDER_SUB_ID"	"OPERATION"	"WORKORDER_SUB_ID"
"FK_IO_TO_OP"	"INSPECTION_ORDER"	"WORKORDER_TYPE"	"OPERATION"	"WORKORDER_TYPE"
