"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FK_VFO_00176"	"V_QUOTE"	"ACCT_ID"	"V_ACCOUNT"	"ID"
"FK_VFO_00177"	"V_QUOTE"	"AREA_ID"	"V_AREA"	"ID"
"FK_VFO_00178"	"V_QUOTE"	"BRANCH_ID"	"V_BRANCH"	"ID"
"FK_VFO_00179"	"V_QUOTE"	"BUS_UNIT_ID"	"V_BUSINESS_UNIT"	"ID"
"FK_VFO_00180"	"V_QUOTE"	"CURRENCY_ID"	"CURRENCY"	"ID"
"FK_VFO_00181"	"V_QUOTE"	"DISCOUNT_CODE"	"CUSTOMER_DISCOUNT"	"DISCOUNT_CODE"
"FK_VFO_00182"	"V_QUOTE"	"DIVISION_ID"	"V_DIVISION"	"ID"
"FK_VFO_00184"	"V_QUOTE"	"OPTY_ID"	"V_OPPORTUNITY"	"ID"
"FK_VFO_00186"	"V_QUOTE"	"SALESREP_ID"	"SALES_REP"	"ID"
"FK_VFO_00183"	"V_QUOTE"	"SITE_ID"	"SITE"	"ID"
"FK_VFO_00187"	"V_QUOTE"	"SLS_TAX_GRP_ID"	"SALES_TAX_GROUP"	"ID"
