"FK_Name"	"Table"	"Column"	"Referenced_Table"	"Referenced_Column"
"FK_VFO_00099"	"V_SRVC_ORDER"	"ACCT_ID"	"V_ACCOUNT"	"ID"
"FK_VFO_00132"	"V_SRVC_ORDER"	"ACCT_MGR_ID"	"V_EMPLOYEE"	"ID"
"FK_VFO_00142"	"V_SRVC_ORDER"	"CONTR_ID"	"V_CONTRACT"	"ID"
"FK_VFO_00215"	"V_SRVC_ORDER"	"CURRENCY_ID"	"CURRENCY"	"ID"
"FK_VFO_00165"	"V_SRVC_ORDER"	"FOLLOW_UP_RES_ID"	"SHOP_RESOURCE"	"ID"
"FK_VFO_00217"	"V_SRVC_ORDER"	"INVOICE_ID"	"V_INVOICE"	"ID"
"FK_VFO_00063"	"V_SRVC_ORDER"	"PRIORITY_ID"	"V_PRIORITY"	"ID"
"FK_VFO_00216"	"V_SRVC_ORDER"	"PRODUCT_CODE"	"PRODUCT"	"CODE"
"FK_VFO_00021"	"V_SRVC_ORDER"	"REV_EXP_ACCT_ID"	"ACCOUNT"	"ID"
"FK_VFO_00020"	"V_SRVC_ORDER"	"REV_MTL_ACCT_ID"	"ACCOUNT"	"ID"
"FK_VFO_00081"	"V_SRVC_ORDER"	"SALESREP_ID"	"SALES_REP"	"ID"
"FK_VFO_00056"	"V_SRVC_ORDER"	"SITE_ID"	"SITE"	"ID"
"FK_VFO_00069"	"V_SRVC_ORDER"	"SRVC_CODE"	"V_SRVC_CODE"	"ID"
"FK_VFO_00050"	"V_SRVC_ORDER"	"SRVC_TYPE"	"V_SRVC_TYPE"	"ID"
