"TableName"	"IndexName"	"IndexType"	"IsUnique"	"IsPrimaryKey"	"ColumnName"	"KeyOrdinal"	"IsIncludedColumn"
"BUFFER"	"PK_BUFFER"	"CLUSTERED"	"YES"	"YES"	"ID"	"1"	"NO"
"BUFFER"	"X_BUFFER_1"	"NONCLUSTERED"	"NO"	"NO"	"WORKORDER_TYPE"	"1"	"NO"
"BUFFER"	"X_BUFFER_1"	"NONCLUSTERED"	"NO"	"NO"	"WORKORDER_BASE_ID"	"2"	"NO"
"BUFFER"	"X_BUFFER_1"	"NONCLUSTERED"	"NO"	"NO"	"WORKORDER_LOT_ID"	"3"	"NO"
"BUFFER"	"X_BUFFER_1"	"NONCLUSTERED"	"NO"	"NO"	"WORKORDER_SPLIT_ID"	"4"	"NO"
"BUFFER"	"X_BUFFER_1"	"NONCLUSTERED"	"NO"	"NO"	"WORKORDER_SUB_ID"	"5"	"NO"
"BUFFER"	"X_BUFFER_1"	"NONCLUSTERED"	"NO"	"NO"	"OPERATION_SEQ_NO"	"6"	"NO"
"BUFFER"	"X_BUFFER_1"	"NONCLUSTERED"	"NO"	"NO"	"PIECE_NO"	"7"	"NO"
"BUFFER"	"X_BUFFER_2"	"NONCLUSTERED"	"NO"	"NO"	"TYPE"	"1"	"NO"
"BUFFER"	"X_BUFFER_3"	"NONCLUSTERED"	"NO"	"NO"	"PART_ID"	"1"	"NO"
"BUFFER"	"X_BUFFER_4"	"NONCLUSTERED"	"NO"	"NO"	"CCR_ID"	"1"	"NO"
"BUFFER"	"X_BUFFER_5"	"NONCLUSTERED"	"NO"	"NO"	"SITE_ID"	"1"	"NO"
"BUFFER"	"X_BUFFER_6"	"NONCLUSTERED"	"NO"	"NO"	"WAREHOUSE_ID"	"1"	"NO"
