"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"ACCOUNT_BALANCE"	"ROWID"	"int"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"ACCT_YEAR"	"decimal"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"ACCT_PERIOD"	"decimal"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"DEBIT_AMOUNT"	"decimal"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"CREDIT_AMOUNT"	"decimal"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"DEBIT_BUDGET"	"decimal"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"CREDIT_BUDGET"	"decimal"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"FLAG"	"int"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"ACCOUNT_BALANCE"	"CURR_BALANCE"	"decimal"	"YES"
"dbo"	"ACCOUNT_BALANCE"	"SOA_BAL_SENT"	"nchar"	"YES"
