"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"AMTS_PENDING_TRANS"	"ROWID"	"int"	"NO"
"dbo"	"AMTS_PENDING_TRANS"	"PENDING_ID"	"int"	"NO"
"dbo"	"AMTS_PENDING_TRANS"	"TRANS_TYPE"	"nvarchar"	"NO"
"dbo"	"AMTS_PENDING_TRANS"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"AMTS_PENDING_TRANS"	"PENDING_FLAG"	"nchar"	"NO"
"dbo"	"AMTS_PENDING_TRANS"	"TRANSACTION_DATE"	"datetime"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"TRANS_DATETIME"	"datetime"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"TRANSACTION_ID"	"int"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"PART_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"QTY"	"decimal"	"NO"
"dbo"	"AMTS_PENDING_TRANS"	"QTY_REMAINDER"	"decimal"	"NO"
"dbo"	"AMTS_PENDING_TRANS"	"WORKORDER_BASE_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"WORKORDER_LOT_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"WORKORDER_SPLIT_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"WORKORDER_SUB_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"OPERATION_SEQ_NO"	"int"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"REQ_PIECE_NO"	"int"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"CUST_ORDER_LINE_NO"	"int"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"DEL_SCHED_LINE_NO"	"smallint"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"PURC_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"PURC_ORDER_LINE_NO"	"int"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"FROM_WAREHOUSE_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"FROM_LOCATION_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"TO_WAREHOUSE_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"TO_LOCATION_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"TRACE_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"APROPERTY_1"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"APROPERTY_2"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"APROPERTY_3"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"APROPERTY_4"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"APROPERTY_5"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"NPROPERTY_1"	"decimal"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"NPROPERTY_2"	"decimal"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"NPROPERTY_3"	"decimal"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"NPROPERTY_4"	"decimal"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"NPROPERTY_5"	"decimal"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"PHYS_COUNT_ID"	"nvarchar"	"YES"
"dbo"	"AMTS_PENDING_TRANS"	"TAG_NO"	"int"	"YES"
