"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"BANK_ADJUSTMENT"	"ROWID"	"int"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"BANK_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"ADJUSTMENT_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"GL_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"TRANSACTION_DATE"	"datetime"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"AMOUNT"	"decimal"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"SELL_RATE"	"decimal"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"BUY_RATE"	"decimal"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"BANK_ADJUSTMENT"	"POSTING_STATUS"	"nchar"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"POSTING_DATE"	"datetime"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"BATCH_ID"	"nvarchar"	"YES"
"dbo"	"BANK_ADJUSTMENT"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"CASH_GL_ACCT_ID"	"nvarchar"	"YES"
"dbo"	"BANK_ADJUSTMENT"	"CLEARED"	"nchar"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"CLEARED_DATE"	"datetime"	"YES"
"dbo"	"BANK_ADJUSTMENT"	"USER_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"CURRENCY_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJUSTMENT"	"USER_EXCH_RATE"	"nchar"	"YES"
"dbo"	"BANK_ADJUSTMENT"	"DEPOSIT_ID"	"nvarchar"	"YES"
"dbo"	"BANK_ADJUSTMENT"	"CONTROL_NO"	"int"	"YES"
"dbo"	"BANK_ADJUSTMENT"	"USER_DIMENSION_1"	"nvarchar"	"YES"
"dbo"	"BANK_ADJUSTMENT"	"USER_DIMENSION_2"	"nvarchar"	"YES"
