"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"BANK_ADJ_LINE"	"ROWID"	"int"	"NO"
"dbo"	"BANK_ADJ_LINE"	"BANK_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJ_LINE"	"ADJUSTMENT_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJ_LINE"	"LINE_NO"	"smallint"	"NO"
"dbo"	"BANK_ADJ_LINE"	"GL_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"BANK_ADJ_LINE"	"AMOUNT"	"decimal"	"NO"
"dbo"	"BANK_ADJ_LINE"	"REFERENCE"	"nvarchar"	"YES"
"dbo"	"BANK_ADJ_LINE"	"USER_DIMENSION_1"	"nvarchar"	"YES"
"dbo"	"BANK_ADJ_LINE"	"USER_DIMENSION_2"	"nvarchar"	"YES"
"dbo"	"BANK_ADJ_LINE"	"CUST_ORDER_ID"	"nvarchar"	"YES"
"dbo"	"BANK_ADJ_LINE"	"PRODUCT_CODE"	"nvarchar"	"YES"
