"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"BURDEN_TRANS"	"ROWID"	"int"	"NO"
"dbo"	"BURDEN_TRANS"	"BURDEN_ID"	"nvarchar"	"NO"
"dbo"	"BURDEN_TRANS"	"PROJECT_SUMMARY_ID"	"nvarchar"	"NO"
"dbo"	"BURDEN_TRANS"	"BURDEN_CATEGORY_ID"	"nvarchar"	"NO"
"dbo"	"BURDEN_TRANS"	"AMOUNT"	"decimal"	"YES"
"dbo"	"BURDEN_TRANS"	"SOURCE_TYPE"	"nvarchar"	"YES"
"dbo"	"BURDEN_TRANS"	"SOURCE_TRANS_ID"	"int"	"YES"
"dbo"	"BURDEN_TRANS"	"SOURCE_ID"	"nvarchar"	"YES"
"dbo"	"BURDEN_TRANS"	"SOURCE_LINE_NO"	"smallint"	"YES"
"dbo"	"BURDEN_TRANS"	"ACCOUNT_YEAR"	"decimal"	"YES"
"dbo"	"BURDEN_TRANS"	"ACCOUNT_PERIOD"	"decimal"	"YES"
"dbo"	"BURDEN_TRANS"	"DEPARTMENT_ID"	"nvarchar"	"YES"
"dbo"	"BURDEN_TRANS"	"COST_CATEGORY_ID"	"nvarchar"	"YES"
"dbo"	"BURDEN_TRANS"	"IS_RETRO"	"nchar"	"NO"
"dbo"	"BURDEN_TRANS"	"RATE_ID"	"nvarchar"	"YES"
"dbo"	"BURDEN_TRANS"	"PERIOD_ID"	"nvarchar"	"YES"
"dbo"	"BURDEN_TRANS"	"SITE_ID"	"nvarchar"	"NO"
