"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CASH_PLAN"	"ROWID"	"int"	"NO"
"dbo"	"CASH_PLAN"	"ID"	"nvarchar"	"NO"
"dbo"	"CASH_PLAN"	"DESCRIPTION"	"nvarchar"	"YES"
"dbo"	"CASH_PLAN"	"SITE_ID"	"nvarchar"	"YES"
"dbo"	"CASH_PLAN"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"CASH_PLAN"	"BEGINNING_BALANCE"	"decimal"	"NO"
"dbo"	"CASH_PLAN"	"STATUS"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"ACT_UPDATED"	"datetime"	"YES"
"dbo"	"CASH_PLAN"	"ACT_FIRST_DATE"	"datetime"	"YES"
"dbo"	"CASH_PLAN"	"ACT_LAST_DATE"	"datetime"	"YES"
"dbo"	"CASH_PLAN"	"PRJ_UPDATED"	"datetime"	"YES"
"dbo"	"CASH_PLAN"	"PRJ_FIRST_DATE"	"datetime"	"YES"
"dbo"	"CASH_PLAN"	"PRJ_LAST_DATE"	"datetime"	"YES"
"dbo"	"CASH_PLAN"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"CASH_PLAN"	"AR_INCLUDED"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"AR_TYPE"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"AR_SAMPLES"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"AR_TERMS_PLUS"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"AR_DAYS"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"AR_CLIP_BEFORE"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"AR_CLIP_AFTER"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"CO_INCLUDED"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"CO_TYPE"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"CO_SAMPLES"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"CO_CLIP_BEFORE"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"CO_CLIP_AFTER"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"AP_INCLUDED"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"AP_TYPE"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"AP_TERMS_PLUS"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"AP_DAYS"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"PO_INCLUDED"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"PO_TYPE"	"nchar"	"YES"
"dbo"	"CASH_PLAN"	"PO_SAMPLES"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"PO_INVOICE_DELAY"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"PO_CLIP_BEFORE"	"smallint"	"YES"
"dbo"	"CASH_PLAN"	"FIN_CAL_ID"	"nvarchar"	"NO"
