"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CASH_RECEIPT"	"ROWID"	"int"	"NO"
"dbo"	"CASH_RECEIPT"	"CUSTOMER_ID"	"nvarchar"	"NO"
"dbo"	"CASH_RECEIPT"	"CHECK_ID"	"nvarchar"	"NO"
"dbo"	"CASH_RECEIPT"	"BANK_ACCOUNT_ID"	"nvarchar"	"NO"
"dbo"	"CASH_RECEIPT"	"AMOUNT"	"decimal"	"NO"
"dbo"	"CASH_RECEIPT"	"CREATE_DATE"	"datetime"	"NO"
"dbo"	"CASH_RECEIPT"	"USER_ID"	"nvarchar"	"YES"
"dbo"	"CASH_RECEIPT"	"CHECK_DATE"	"datetime"	"NO"
"dbo"	"CASH_RECEIPT"	"STATUS"	"nchar"	"NO"
"dbo"	"CASH_RECEIPT"	"SELL_RATE"	"decimal"	"NO"
"dbo"	"CASH_RECEIPT"	"BUY_RATE"	"decimal"	"NO"
"dbo"	"CASH_RECEIPT"	"POSTING_DATE"	"datetime"	"NO"
"dbo"	"CASH_RECEIPT"	"SITE_ID"	"nvarchar"	"NO"
"dbo"	"CASH_RECEIPT"	"DEPOSIT_ID"	"nvarchar"	"YES"
"dbo"	"CASH_RECEIPT"	"MARKED_FOR_PURGE"	"nchar"	"NO"
"dbo"	"CASH_RECEIPT"	"PAYMENT_METHOD"	"nchar"	"NO"
"dbo"	"CASH_RECEIPT"	"CURRENCY_ID"	"nvarchar"	"YES"
"dbo"	"CASH_RECEIPT"	"USER_EXCH_RATE"	"nchar"	"YES"
"dbo"	"CASH_RECEIPT"	"VOID_DATE"	"datetime"	"YES"
"dbo"	"CASH_RECEIPT"	"VOID_CLEARED_DATE"	"datetime"	"YES"
"dbo"	"CASH_RECEIPT"	"GROUP_ID"	"nvarchar"	"YES"
"dbo"	"CASH_RECEIPT"	"USER_DIMENSION_1"	"nvarchar"	"YES"
"dbo"	"CASH_RECEIPT"	"USER_DIMENSION_2"	"nvarchar"	"YES"
