"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CHART_FACTORS"	"ROWID"	"int"	"NO"
"dbo"	"CHART_FACTORS"	"SUBGROUP_SIZE"	"smallint"	"NO"
"dbo"	"CHART_FACTORS"	"A1"	"decimal"	"NO"
"dbo"	"CHART_FACTORS"	"A2"	"decimal"	"NO"
"dbo"	"CHART_FACTORS"	"A3"	"decimal"	"NO"
"dbo"	"CHART_FACTORS"	"C4"	"decimal"	"NO"
"dbo"	"CHART_FACTORS"	"B3"	"decimal"	"NO"
"dbo"	"CHART_FACTORS"	"B4"	"decimal"	"NO"
"dbo"	"CHART_FACTORS"	"LD2"	"decimal"	"NO"
"dbo"	"CHART_FACTORS"	"D3"	"decimal"	"NO"
"dbo"	"CHART_FACTORS"	"D4"	"decimal"	"NO"
