"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"DATA_TYPE"	"IS_NULLABLE"
"dbo"	"CNSN_RCVR_LINE_DEL"	"ROWID"	"int"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"RECEIVER_ID"	"nvarchar"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"RECEIVER_LINE_NO"	"smallint"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"LINE_NO"	"smallint"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"PURC_ORDER_ID"	"nvarchar"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"PURC_ORDER_LINE_NO"	"smallint"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"PURC_DEL_LINE_NO"	"smallint"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"USER_RECEIVED_QTY"	"decimal"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"RECEIVED_QTY"	"decimal"	"NO"
"dbo"	"CNSN_RCVR_LINE_DEL"	"PIECE_COUNT"	"decimal"	"YES"
